year,stat,gilmore.meadow,great.meadow.1,great.meadow.2,great.meadow.3,great.meadow.4,great.meadow.5,great.meadow.6
2016,WL_mean,21.66079260357143,-22.01077380952385,-2.945714285714292,-49.33551652277472,-14.799434523809595,6.742738095238093,-25.845565476190465
2016,WL_sd,11.14020866568787,5.344699638602844,4.25544424026013,16.25411106543043,9.024786894068857,4.073682145058819,4.021535283100556
2016,WL_min,1.564715,-30.8,-10.6,-82.3,-31.9,-1.6,-32.9
2016,WL_max,39.95642,-9.3,9.4,-9.6,6.7,17.3,-16
2016,max_inc,1.2542300000000033,2.900000000000002,5.1,8.100000000000001,2.4,2.9,2
2016,max_dec,-1.1318699999999993,-3.5999999999999996,-1.4000000000000004,-1.7000000000000028,-4.8,-4.300000000000001,-1.9000000000000021
2016,prop_GS_comp,100,100,100,99.9702380952381,100,100,100
2016,GS_change,-28.70819469722222,-10.534305555555555,-5.73486111111111,-37.45803701128108,-18.097083333333327,-2.3001388888888887,-7.346250000000001
2016,prop_over_0cm,100,0,20.416666666666668,0,5.654761904761905,99.55357142857143,0
2016,prop_bet_0_neg30cm,0,99.40476190476191,80.05952380952381,8.335814230425722,91.66666666666666,0.625,80.11904761904762
2016,prop_under_neg30cm,0,0.5952380952380952,0,91.66418576957427,2.797619047619048,0,19.88095238095238
2017,WL_mean,3.555192803571427,-45.4663095238095,2.552053571428616,-49.050863095237986,-15.795863095238156,6.782827380952403,-28.672432271509358
2017,WL_sd,5.751091910315038,9.221061461026224,7.629920768196393,20.82617377223601,14.62956376323835,6.517011406456981,6.753463524270895
2017,WL_min,-8.9833176,-59,-13.4,-81.3,-43,-3,-39.4
2017,WL_max,30.2343444,-23.5,37.4,1.6,16.2,31,-11.9
2017,max_inc,2.416689,4.700000000000003,4,6.5,4.299999999999997,4.4,4.399999999999999
2017,max_dec,-2.5084619999999997,-3,-3,-3.1000000000000014,-3.1000000000000014,-3.4000000000000004,-2.900000000000002
2017,prop_GS_comp,100,100,100,100,100,100,99.9702380952381
2017,GS_change,-10.140265025000001,-13.618472222222223,-9.067222222222227,-37.22805555555557,-21.975694444444446,-7.8958333333333375,-9.18513888888889
2017,prop_over_0cm,69.46428571428571,0,58.69047619047619,0.4464285714285714,19.732142857142858,88.95833333333333,0
2017,prop_bet_0_neg30cm,30.53571428571429,5.119047619047619,41.726190476190474,23.779761904761905,61.30952380952381,11.93452380952381,48.85382554331647
2017,prop_under_neg30cm,0,94.88095238095238,0,75.77380952380952,19.166666666666668,0,51.14617445668353
